film,character,dialogue,cleaned_dialogue,sentiment_score
Pulp Fiction,JULES,"Look, just because I wouldn't give no man a foot massage, don't make it right for Marsellus to throw Antwan off a building into a glass- motherfuckin-house, fuckin' up the way the nigger talks. That ain't right, man. Motherfucker do that to me, he better paralyze my ass, 'cause I'd kill'a motherfucker.","Look, just because I wouldn't give no man a foot massage, don't make it right for Marsellus to throw Antwan off a building into a glass- motherfuckin-house, fuckin' up the way the nigger talks. That ain't right, man. Motherfucker do that to me, he better paralyze my ass, 'cause I'd kill'a motherfucker.",-0.7139
Pulp Fiction,VINCENT,"I'm not sayin' he was right, but you're sayin' a foot massage don't mean nothing, and I'm sayin' it does. I've given a million ladies a million foot massages and they all meant somethin'. We act like they don't, but they do. That's what's so fuckin' cool about 'em. This sensual thing's goin' on that nobody's talkin about, but you know it and she knows it, fuckin' Marsellus knew it, and Antwan shoulda known fuckin' better. That's his fuckin' wife, man. He ain't gonna have a sense of humor about that shit.","I'm not sayin' he was right, but you're sayin' a foot massage don't mean nothing, and I'm sayin' it does. I've given a million ladies a million foot massages and they all meant somethin'. We act like they don't, but they do. That's what's so fuckin' cool about 'em. This sensual thing's goin' on that nobody's talkin about, but you know it and she knows it, fuckin' Marsellus knew it, and Antwan shoulda known fuckin' better. That's his fuckin' wife, man. He ain't gonna have a sense of humor about that shit.",0.8441
Pulp Fiction,JULES,"That's an interesting point, but let's get into character.","That's an interesting point, but let's get into character.",0.2144
Pulp Fiction,VINCENT,What's her name again?,What's her name again?,0.0
Pulp Fiction,JULES,Mia. Why you so interested in big man's wife?,Mia. Why you so interested in big man's wife?,0.3163
Pulp Fiction,VINCENT,"Well, Marsellus is leavin' for Florida and when he's gone, he wants me to take care of Mia.","Well, Marsellus is leavin' for Florida and when he's gone, he wants me to take care of Mia.",0.4767
Pulp Fiction,JULES,Take care of her?,Take care of her?,0.4939
Pulp Fiction,VINCENT,Not that! Take her out. Show her a good time. Don't let her get lonely.,Not that! Take her out. Show her a good time. Don't let her get lonely.,0.1759
Pulp Fiction,JULES,You're gonna be takin' Mia Wallace out on a date?,You're gonna be takin' Mia Wallace out on a date?,-0.296
Pulp Fiction,VINCENT,It ain't a date. It's like when you and your buddy's wife go to a movie or somethin'. It's just... you know... good company.,It ain't a date. It's like when you and your buddy's wife go to a movie or somethin'. It's just... you know... good company.,0.6597
Pulp Fiction,VINCENT,It's not a date.,It's not a date.,0.0
Pulp Fiction,JULES,Hey kids.,Hey kids.,0.0
Pulp Fiction,JULES,How you boys doin'?,How you boys doin'?,0.0
Pulp Fiction,JULES,Do you know who we are?,Do you know who we are?,0.0
Pulp Fiction,JULES,"We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?","We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?",0.0
Pulp Fiction,JULES,"I thought so. Well, you remember your business partner Marsellus Wallace, dont'ya Brett?","I thought so. Well, you remember your business partner Marsellus Wallace, dont'ya Brett?",0.2732
Pulp Fiction,JULES,"Good for you. Looks like me and Vincent caught you at breakfast, sorry 'bout that.  What'cha eatin'?","Good for you. Looks like me and Vincent caught you at breakfast, sorry 'bout that. What'cha eatin'?",0.6249
Pulp Fiction,JULES,Hamburgers. The cornerstone of any nutritious breakfast. What kinda hamburgers?,Hamburgers. The cornerstone of any nutritious breakfast. What kinda hamburgers?,0.0
Pulp Fiction,JULES,"No, I mean where did you get'em? MacDonald's, Wendy's, Jack-in-the- Box, where?","No, I mean where did you get'em? MacDonald's, Wendy's, Jack-in-the- Box, where?",0.0
Pulp Fiction,JULES,"Big Kahuna Burger. That's that Hawaiian burger joint. I heard they got some tasty burgers. I ain't never had one myself, how are they?","Big Kahuna Burger. That's that Hawaiian burger joint. I heard they got some tasty burgers. I ain't never had one myself, how are they?",0.0
Pulp Fiction,JULES,Mind if I try one of yours?,Mind if I try one of yours?,0.0
Pulp Fiction,JULES,"Yours is this one, right?","Yours is this one, right?",0.0
Pulp Fiction,JULES,"Uuummmm, that's a tasty burger.","Uuummmm, that's a tasty burger.",0.0
Pulp Fiction,VINCENT,No.,No.,0.0
Pulp Fiction,JULES,"You wanna bite, they're real good.","You wanna bite, they're real good.",0.4404
Pulp Fiction,VINCENT,I ain't hungry.,I ain't hungry.,0.0
Pulp Fiction,JULES,"Well, if you like hamburgers give 'em a try sometime. Me, I can't usually eat 'em 'cause my girlfriend's a vegetarian. Which more or less makes me a vegetarian, but I sure love the taste of a good burger.","Well, if you like hamburgers give 'em a try sometime. Me, I can't usually eat 'em 'cause my girlfriend's a vegetarian. Which more or less makes me a vegetarian, but I sure love the taste of a good burger.",0.9423
Pulp Fiction,JULES,"Tell 'em, Vincent.","Tell 'em, Vincent.",0.0
Pulp Fiction,VINCENT,Royale with Cheese.,Royale with Cheese.,0.0
Pulp Fiction,JULES,"Royale with Cheese, you know why they call it that?","Royale with Cheese, you know why they call it that?",0.0
Pulp Fiction,JULES,"Check out the big brain on Brett. You'a smart motherfucker, that's right. The metric system.","Check out the big brain on Brett. You'a smart motherfucker, that's right. The metric system.",-0.4404
Pulp Fiction,JULES,"Sprite, good, mind if I have some of your tasty beverage to wash this down with?","Sprite, good, mind if I have some of your tasty beverage to wash this down with?",0.4404
Pulp Fiction,JULES,"Uuuuummmm, hit's the spot!","Uuuuummmm, hit's the spot!",0.0
Pulp Fiction,JULES,"Then why don't you tell my boy here Vince, where you got the shit hid.","Then why don't you tell my boy here Vince, where you got the shit hid.",0.8402
Pulp Fiction,JULES,� I don't remember askin' you a goddamn thing.,� I don't remember askin' you a goddamn thing.,-0.4767
Pulp Fiction,VINCENT,Got it.,Got it.,0.0
Pulp Fiction,JULES,We happy?,We happy?,0.5719
Pulp Fiction,JULES,Vincent!,Vincent!,0.0
Pulp Fiction,JULES,We happy?,We happy?,0.5719
Pulp Fiction,VINCENT,We're happy.,We're happy.,0.5719
Pulp Fiction,JULES,"My name's Pitt, and you ain't talkin' your ass outta this shit.","My name's Pitt, and you ain't talkin' your ass outta this shit.",-0.1901
Pulp Fiction,JULES,"Whatsamatter? Oh, you were through anyway.  Well, let me retort. Would you describe for me what Marsellus Wallace looks like?","Whatsamatter? Oh, you were through anyway. Well, let me retort. Would you describe for me what Marsellus Wallace looks like?",0.6072
Pulp Fiction,JULES,What country you from!,What country you from!,0.0
Pulp Fiction,JULES,"""What"" ain't no country I know! Do they speak English in ""What?""","""What"" ain't no country I know! Do they speak English in ""What?""",0.2914
Pulp Fiction,JULES,English-motherfucker-can-you-speak- it?,English-motherfucker-can-you-speak- it?,0.0
Pulp Fiction,JULES,Then you understand what I'm sayin'?,Then you understand what I'm sayin'?,0.0
Pulp Fiction,JULES,Now describe what Marsellus Wallace looks like!,Now describe what Marsellus Wallace looks like!,0.4199
Pulp Fiction,JULES,"Say ""What"" again! C'mon, say ""What"" again!  I dare ya, I double dare ya motherfucker, say ""What"" one more goddamn time!","Say ""What"" again! C'mon, say ""What"" again! I dare ya, I double dare ya motherfucker, say ""What"" one more goddamn time!",-0.8711
Pulp Fiction,JULES,Now describe to me what Marsellus Wallace looks like!,Now describe to me what Marsellus Wallace looks like!,0.4199
Pulp Fiction,JULES,� go on!,� go on!,0.0
Pulp Fiction,JULES,� does he look like a bitch?!,� does he look like a bitch?!,-0.3802
Pulp Fiction,JULES,Does-he-look-like-a-bitch?!,Does-he-look-like-a-bitch?!,0.0
Pulp Fiction,JULES,Then why did you try to fuck 'im like a bitch?!,Then why did you try to fuck 'im like a bitch?!,-0.7263
Pulp Fiction,JULES,"Yes ya did Brett. Ya tried ta fuck 'im.  You ever read the Bible, Brett?","Yes ya did Brett. Ya tried ta fuck 'im. You ever read the Bible, Brett?",-0.2023
Pulp Fiction,JULES,"There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men.  Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know my name is the Lord when I lay my vengeance upon you.""","There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know my name is the Lord when I lay my vengeance upon you.""",-0.9186
Pulp Fiction,BUTCH,I got no problem with that.,I got no problem with that.,0.3089
Pulp Fiction,BUTCH,"In the fifth, my ass goes down.","In the fifth, my ass goes down.",-0.5423
Pulp Fiction,VINCENT,Where's the big man?,Where's the big man?,0.0
Pulp Fiction,VINCENT,How 'bout a cup of just plain lo' American?,How 'bout a cup of just plain lo' American?,0.0
Pulp Fiction,VINCENT,At Marsellus' request.,At Marsellus' request.,0.0
Pulp Fiction,VINCENT,Not yet.,Not yet.,0.0
Pulp Fiction,VINCENT,What's so funny?,What's so funny?,0.4927
Pulp Fiction,VINCENT,"Look, I'm not a idiot. She's the big man's fuckin' wife. I'm gonna sit across a table, chew my food with my mouth closed, laugh at her jokes and that's all I'm gonna do.","Look, I'm not a idiot. She's the big man's fuckin' wife. I'm gonna sit across a table, chew my food with my mouth closed, laugh at her jokes and that's all I'm gonna do.",0.8075
Pulp Fiction,BUTCH,Non.,Non.,0.0
Pulp Fiction,BUTCH,"Lookin' at somethin', friend?","Lookin' at somethin', friend?",0.4939
Pulp Fiction,VINCENT,"I ain't your friend, palooka.","I ain't your friend, palooka.",-0.3875
Pulp Fiction,BUTCH,What was that?,What was that?,0.0
Pulp Fiction,VINCENT,"I think ya heard me just fine, punchy.","I think ya heard me just fine, punchy.",0.2023
Pulp Fiction,VINCENT,"Remember, I just got back from Amsterdam.","Remember, I just got back from Amsterdam.",0.0
Pulp Fiction,VINCENT,That's a bold statement.,That's a bold statement.,0.3818
Pulp Fiction,VINCENT,"Give me three hundred worth of the madman.  If it's as good as you say, I'll be back for a thousand.","Give me three hundred worth of the madman. If it's as good as you say, I'll be back for a thousand.",0.5859
Pulp Fiction,VINCENT,Which one's Trudi? The one with all the shit in her face?,Which one's Trudi? The one with all the shit in her face?,0.6553
Pulp Fiction,VINCENT,I'm on my way somewhere. I got a dinner engagement. Rain check?,I'm on my way somewhere. I got a dinner engagement. Rain check?,0.4588
Pulp Fiction,VINCENT,You don't mind if I shoot up here?,You don't mind if I shoot up here?,-0.34
Pulp Fiction,VINCENT,Mucho gracias.,Mucho gracias.,0.0
Pulp Fiction,VINCENT,You know what some fucker did to it the other day?,You know what some fucker did to it the other day?,-0.6486
Pulp Fiction,VINCENT,Fuckin' keyed it.,Fuckin' keyed it.,0.0
Pulp Fiction,VINCENT,"Tell me about it. I had the goddamn thing in storage three years. It's out five fuckin' days � five days, and some dickless piece of shit fucks with it.","Tell me about it. I had the goddamn thing in storage three years. It's out five fuckin' days � five days, and some dickless piece of shit fucks with it.",-0.8689
Pulp Fiction,VINCENT,"I just wish I caught 'em doin' it, ya know?  Oh man, I'd give anything to catch 'em doin' it. It'a been worth his doin' it, if I coulda just caught 'em, you know what I mean?","I just wish I caught 'em doin' it, ya know? Oh man, I'd give anything to catch 'em doin' it. It'a been worth his doin' it, if I coulda just caught 'em, you know what I mean?",0.6072
Pulp Fiction,MIA,"Hi, Vincent. I'm getting dressed. The door's open. Come inside and make yourself a drink.","Hi, Vincent. I'm getting dressed. The door's open. Come inside and make yourself a drink.",0.0
Pulp Fiction,VINCENT,Hello?,Hello?,0.0
Pulp Fiction,MIA,...warm. Warmer. Disco.,...warm. Warmer. Disco.,0.4767
Pulp Fiction,VINCENT,Hello.,Hello.,0.0
Pulp Fiction,MIA,Let's go.,Let's go.,0.0
Pulp Fiction,VINCENT,What the fuck is this place?,What the fuck is this place?,-0.5423
Pulp Fiction,MIA,This is Jackrabbit Slim's. An Elvis man should love it.,This is Jackrabbit Slim's. An Elvis man should love it.,0.6369
Pulp Fiction,VINCENT,"Come on, Mia, let's go get a steak.","Come on, Mia, let's go get a steak.",-0.296
Pulp Fiction,MIA,"You can get a steak here, daddy-o. Don't be a...","You can get a steak here, daddy-o. Don't be a...",0.0
Pulp Fiction,VINCENT,"After you, kitty-cat.","After you, kitty-cat.",0.0
Pulp Fiction,VINCENT,I'll have the Douglas Sirk steak.,I'll have the Douglas Sirk steak.,0.0
Pulp Fiction,VINCENT,"Bloody as hell. And to drink, a vanilla coke.","Bloody as hell. And to drink, a vanilla coke.",-0.8176
Pulp Fiction,MIA,I'll have the Durwood Kirby burger � bloody � and a five-dollar shake.,I'll have the Durwood Kirby burger � bloody � and a five-dollar shake.,-0.5574
Pulp Fiction,MIA,Martin and Lewis.,Martin and Lewis.,0.0
Pulp Fiction,VINCENT,Did you just order a five-dollar shake?,Did you just order a five-dollar shake?,-0.1779
Pulp Fiction,MIA,Sure did.,Sure did.,0.3182
Pulp Fiction,VINCENT,A shake? Milk and ice cream?,A shake? Milk and ice cream?,-0.264
Pulp Fiction,MIA,Uh-huh.,Uh-huh.,0.0
Pulp Fiction,VINCENT,It costs five dollars?,It costs five dollars?,0.0
Pulp Fiction,VINCENT,You don't put bourbon in it or anything?,You don't put bourbon in it or anything?,0.0
Pulp Fiction,VINCENT,Just checking.,Just checking.,0.0
Pulp Fiction,MIA,Whaddya think?,Whaddya think?,0.0
Pulp Fiction,VINCENT,It's like a wax museum with a pulse rate.,It's like a wax museum with a pulse rate.,0.3612
Pulp Fiction,MIA,What are you doing?,What are you doing?,0.0
Pulp Fiction,VINCENT,Rollin' a smoke.,Rollin' a smoke.,0.0
Pulp Fiction,MIA,Here?,Here?,0.0
Pulp Fiction,VINCENT,It's just tobacco.,It's just tobacco.,0.0
Pulp Fiction,MIA,"Oh. Well in that case, will you roll me one, cowboy?","Oh. Well in that case, will you roll me one, cowboy?",0.2732
Pulp Fiction,VINCENT,"You can have this one, cowgirl.","You can have this one, cowgirl.",0.0
Pulp Fiction,MIA,Thanks.,Thanks.,0.4404
Pulp Fiction,VINCENT,Think nothing of it.,Think nothing of it.,0.0
Pulp Fiction,MIA,Marsellus said you just got back from Amsterdam.,Marsellus said you just got back from Amsterdam.,0.0
Pulp Fiction,VINCENT,Sure did. I heard you did a pilot.,Sure did. I heard you did a pilot.,0.3182
Pulp Fiction,MIA,That was my fifteen minutes.,That was my fifteen minutes.,0.0
Pulp Fiction,VINCENT,What was it?,What was it?,0.0
Pulp Fiction,MIA,"It was show about a team of female secret agents called ""Fox Force Five.""","It was show about a team of female secret agents called ""Fox Force Five.""",0.0
Pulp Fiction,VINCENT,What?,What?,0.0
Pulp Fiction,MIA,"""Fox Force Five."" Fox, as in we're a bunch of foxy chicks. Force, as in we're a force to be reckoned with. Five, as in there's one... two ... three... four... five of us. There was a blonde one, Sommerset O'Neal from that show ""Baton Rouge,"" she was the leader. A Japanese one, a black one, a French one and a brunette one, me.  We all had special skills. Sommerset had a photographic memory, the Japanese fox was a kung fu master, the black girl was a demolition expert, the French fox' specialty was sex...","""Fox Force Five."" Fox, as in we're a bunch of foxy chicks. Force, as in we're a force to be reckoned with. Five, as in there's one... two ... three... four... five of us. There was a blonde one, Sommerset O'Neal from that show ""Baton Rouge,"" she was the leader. A Japanese one, a black one, a French one and a brunette one, me. We all had special skills. Sommerset had a photographic memory, the Japanese fox was a kung fu master, the black girl was a demolition expert, the French fox' specialty was sex...",-0.4588
Pulp Fiction,VINCENT,What was your specialty?,What was your specialty?,0.0
Pulp Fiction,MIA,"Knives. The character I played, Raven McCoy, her background was she was raised by circus performers. So she grew up doing a knife act. According to the show, she was the deadliest woman in the world with a knife. But because she grew up in a circus, she was also something of an acrobat. She could do illusions, she was a trapeze artist � when you're keeping the world safe from evil, you never know when being a trapeze artist's gonna come in handy. And she knew a zillion old jokes her grandfather, an old vaudevillian, taught her. If we woulda got picked up, they woulda worked in a gimmick where every episode I woulda told and ol joke.","Knives. The character I played, Raven McCoy, her background was she was raised by circus performers. So she grew up doing a knife act. According to the show, she was the deadliest woman in the world with a knife. But because she grew up in a circus, she was also something of an acrobat. She could do illusions, she was a trapeze artist � when you're keeping the world safe from evil, you never know when being a trapeze artist's gonna come in handy. And she knew a zillion old jokes her grandfather, an old vaudevillian, taught her. If we woulda got picked up, they woulda worked in a gimmick where every episode I woulda told and ol joke.",0.4118
Pulp Fiction,VINCENT,Do you remember any of the jokes?,Do you remember any of the jokes?,0.25
Pulp Fiction,MIA,"Well I only got the chance to say one, 'cause we only did one show.","Well I only got the chance to say one, 'cause we only did one show.",0.4767
Pulp Fiction,VINCENT,Tell me.,Tell me.,0.0
Pulp Fiction,MIA,No. It's really corny.,No. It's really corny.,0.0
Pulp Fiction,VINCENT,"C'mon, don't be that way.","C'mon, don't be that way.",0.0
Pulp Fiction,MIA,No. You won't like it and I'll be embarrassed.,No. You won't like it and I'll be embarrassed.,-0.5588
Pulp Fiction,VINCENT,You told it in front of fifty million people and you can't tell it to me? I promise I won't laugh.,You told it in front of fifty million people and you can't tell it to me? I promise I won't laugh.,-0.1591
Pulp Fiction,VINCENT,That's not what I meant and you know it.,That's not what I meant and you know it.,0.0
