film,character,dialogue,cleaned_dialogue
Pulp Fiction,JULES,What?,What?
Pulp Fiction,VINCENT,Mayonnaise.,Mayonnaise.
Pulp Fiction,JULES,Goddamn!,Goddamn!
Pulp Fiction,VINCENT,"I seen 'em do it. And I don't mean a little bit on the side of the plate, they fuckin' drown 'em in it.","I seen 'em do it. And I don't mean a little bit on the side of the plate, they fuckin' drown 'em in it."
Pulp Fiction,JULES,Uuccch!,Uuccch!
Pulp Fiction,JULES,We should have shotguns for this kind of deal.,We should have shotguns for this kind of deal.
Pulp Fiction,VINCENT,How many up there?,How many up there?
Pulp Fiction,JULES,Three or four.,Three or four.
Pulp Fiction,VINCENT,Counting our guy?,Counting our guy?
Pulp Fiction,JULES,I'm not sure.,I'm not sure.
Pulp Fiction,VINCENT,So there could be five guys up there?,So there could be five guys up there?
Pulp Fiction,JULES,It's possible.,It's possible.
Pulp Fiction,VINCENT,We should have fuckin' shotguns.,We should have fuckin' shotguns.
Pulp Fiction,VINCENT,What's her name?,What's her name?
Pulp Fiction,JULES,Mia.,Mia.
Pulp Fiction,VINCENT,How did Marsellus and her meet?,How did Marsellus and her meet?
Pulp Fiction,JULES,"I dunno, however people meet people. She usta be an actress.","I dunno, however people meet people. She usta be an actress."
Pulp Fiction,VINCENT,She ever do anything I woulda saw?,She ever do anything I woulda saw?
Pulp Fiction,JULES,I think her biggest deal was she starred in a pilot.,I think her biggest deal was she starred in a pilot.
Pulp Fiction,VINCENT,What's a pilot?,What's a pilot?
Pulp Fiction,JULES,"Well, you know the shows on TV?","Well, you know the shows on TV?"
Pulp Fiction,VINCENT,I don't watch TV.,I don't watch TV.
Pulp Fiction,JULES,"Yes, but you're aware that there's an invention called television, and on that invention they show shows?","Yes, but you're aware that there's an invention called television, and on that invention they show shows?"
Pulp Fiction,VINCENT,Yeah.,Yeah.
Pulp Fiction,JULES,"Well, the way they pick the shows on TV is they make one show, and that show's called a pilot. And they show that one show to the people who pick the shows, and on the strength of that one show, they decide if they want to make more shows. Some get accepted and become TV programs, and some don't, and become nothing. She starred in one of the ones that became nothing.","Well, the way they pick the shows on TV is they make one show, and that show's called a pilot. And they show that one show to the people who pick the shows, and on the strength of that one show, they decide if they want to make more shows. Some get accepted and become TV programs, and some don't, and become nothing. She starred in one of the ones that became nothing."
Pulp Fiction,JULES,"You remember Antwan Rockamora? Half- black, half-Samoan, usta call him Tony Rocky Horror.","You remember Antwan Rockamora? Half- black, half-Samoan, usta call him Tony Rocky Horror."
Pulp Fiction,VINCENT,"Yeah maybe, fat right?","Yeah maybe, fat right?"
Pulp Fiction,JULES,"I wouldn't go so far as to call the brother fat. He's got a weight problem.  What's the nigger gonna do, he's Samoan.","I wouldn't go so far as to call the brother fat. He's got a weight problem. What's the nigger gonna do, he's Samoan."
Pulp Fiction,VINCENT,"I think I know who you mean, what about him?","I think I know who you mean, what about him?"
Pulp Fiction,JULES,"Well, Marsellus fucked his ass up good.  And word around the campfire, it was on account of Marsellus Wallace's wife.","Well, Marsellus fucked his ass up good. And word around the campfire, it was on account of Marsellus Wallace's wife."
Pulp Fiction,VINCENT,"What'd he do, fuck her?","What'd he do, fuck her?"
Pulp Fiction,JULES,"No no no no no no no, nothin' that bad.","No no no no no no no, nothin' that bad."
Pulp Fiction,VINCENT,Well what then?,Well what then?
Pulp Fiction,JULES,He gave her a foot massage.,He gave her a foot massage.
Pulp Fiction,VINCENT,A foot massage?,A foot massage?
Pulp Fiction,VINCENT,That's all?,That's all?
Pulp Fiction,VINCENT,What did Marsellus do?,What did Marsellus do?
Pulp Fiction,JULES,"Sent a couple of guys over to his place.  They took him out on the patio of his apartment, threw his ass over the balcony.  Nigger fell four stories. They had this garden at the bottom, enclosed in glass, like one of them greenhouses � nigger fell through that. Since then, he's kinda developed a speech impediment.","Sent a couple of guys over to his place. They took him out on the patio of his apartment, threw his ass over the balcony. Nigger fell four stories. They had this garden at the bottom, enclosed in glass, like one of them greenhouses � nigger fell through that. Since then, he's kinda developed a speech impediment."
Pulp Fiction,VINCENT,That's a damn shame.,That's a damn shame.
Pulp Fiction,VINCENT,"Still I hafta say, play with matches, ya get burned.","Still I hafta say, play with matches, ya get burned."
Pulp Fiction,JULES,Whaddya mean?,Whaddya mean?
Pulp Fiction,VINCENT,You don't be givin' Marsellus Wallace's new bride a foot massage.,You don't be givin' Marsellus Wallace's new bride a foot massage.
Pulp Fiction,JULES,You don't think he overreacted?,You don't think he overreacted?
Pulp Fiction,VINCENT,"Antwan probably didn't expect Marsellus to react like he did, but he had to expect a reaction.","Antwan probably didn't expect Marsellus to react like he did, but he had to expect a reaction."
Pulp Fiction,JULES,"It was a foot massage, a foot massage is nothing, I give my mother a foot massage.","It was a foot massage, a foot massage is nothing, I give my mother a foot massage."
Pulp Fiction,VINCENT,"It's laying hands on Marsellus Wallace's new wife in a familiar way. Is it as bad as eatin' her out � no, but you're in the same fuckin' ballpark.","It's laying hands on Marsellus Wallace's new wife in a familiar way. Is it as bad as eatin' her out � no, but you're in the same fuckin' ballpark."
Pulp Fiction,JULES,"Whoa... whoa... whoa... stop right there.  Eatin' a bitch out, and givin' a bitch a foot massage ain't even the same fuckin' thing.","Whoa... whoa... whoa... stop right there. Eatin' a bitch out, and givin' a bitch a foot massage ain't even the same fuckin' thing."
Pulp Fiction,VINCENT,"Not the same thing, the same ballpark.","Not the same thing, the same ballpark."
Pulp Fiction,JULES,"It ain't no ballpark either. Look maybe your method of massage differs from mine, but touchin' his lady's feet, and stickin' your tongue in her holyiest of holyies, ain't the same ballpark, ain't the same league, ain't even the same fuckin' sport. Foot massages don't mean shit.","It ain't no ballpark either. Look maybe your method of massage differs from mine, but touchin' his lady's feet, and stickin' your tongue in her holyiest of holyies, ain't the same ballpark, ain't the same league, ain't even the same fuckin' sport. Foot massages don't mean shit."
Pulp Fiction,VINCENT,Have you ever given a foot massage?,Have you ever given a foot massage?
Pulp Fiction,JULES,Don't be tellin' me about foot massages � I'm the foot fuckin' master.,Don't be tellin' me about foot massages � I'm the foot fuckin' master.
Pulp Fiction,VINCENT,Given a lot of 'em?,Given a lot of 'em?
Pulp Fiction,JULES,"Shit yeah. I got my technique down man, I don't tickle or nothin'.","Shit yeah. I got my technique down man, I don't tickle or nothin'."
Pulp Fiction,VINCENT,Have you ever given a guy a foot massage?,Have you ever given a guy a foot massage?
Pulp Fiction,JULES,Fuck you.,Fuck you.
Pulp Fiction,VINCENT,How many?,How many?
Pulp Fiction,JULES,Fuck you.,Fuck you.
Pulp Fiction,VINCENT,Would you give me a foot massage � I'm kinda tired.,Would you give me a foot massage � I'm kinda tired.
Pulp Fiction,JULES,"Man, you best back off, I'm gittin' pissed � this is the door.","Man, you best back off, I'm gittin' pissed � this is the door."
Pulp Fiction,JULES,What time is it?,What time is it?
Pulp Fiction,JULES,"It ain't quite time, let's hang back.","It ain't quite time, let's hang back."
Pulp Fiction,JULES,"Look, just because I wouldn't give no man a foot massage, don't make it right for Marsellus to throw Antwan off a building into a glass- motherfuckin-house, fuckin' up the way the nigger talks. That ain't right, man. Motherfucker do that to me, he better paralyze my ass, 'cause I'd kill'a motherfucker.","Look, just because I wouldn't give no man a foot massage, don't make it right for Marsellus to throw Antwan off a building into a glass- motherfuckin-house, fuckin' up the way the nigger talks. That ain't right, man. Motherfucker do that to me, he better paralyze my ass, 'cause I'd kill'a motherfucker."
Pulp Fiction,VINCENT,"I'm not sayin' he was right, but you're sayin' a foot massage don't mean nothing, and I'm sayin' it does. I've given a million ladies a million foot massages and they all meant somethin'. We act like they don't, but they do. That's what's so fuckin' cool about 'em. This sensual thing's goin' on that nobody's talkin about, but you know it and she knows it, fuckin' Marsellus knew it, and Antwan shoulda known fuckin' better. That's his fuckin' wife, man. He ain't gonna have a sense of humor about that shit.","I'm not sayin' he was right, but you're sayin' a foot massage don't mean nothing, and I'm sayin' it does. I've given a million ladies a million foot massages and they all meant somethin'. We act like they don't, but they do. That's what's so fuckin' cool about 'em. This sensual thing's goin' on that nobody's talkin about, but you know it and she knows it, fuckin' Marsellus knew it, and Antwan shoulda known fuckin' better. That's his fuckin' wife, man. He ain't gonna have a sense of humor about that shit."
Pulp Fiction,JULES,"That's an interesting point, but let's get into character.","That's an interesting point, but let's get into character."
Pulp Fiction,VINCENT,What's her name again?,What's her name again?
Pulp Fiction,JULES,Mia. Why you so interested in big man's wife?,Mia. Why you so interested in big man's wife?
Pulp Fiction,VINCENT,"Well, Marsellus is leavin' for Florida and when he's gone, he wants me to take care of Mia.","Well, Marsellus is leavin' for Florida and when he's gone, he wants me to take care of Mia."
Pulp Fiction,JULES,Take care of her?,Take care of her?
Pulp Fiction,VINCENT,Not that! Take her out. Show her a good time. Don't let her get lonely.,Not that! Take her out. Show her a good time. Don't let her get lonely.
Pulp Fiction,JULES,You're gonna be takin' Mia Wallace out on a date?,You're gonna be takin' Mia Wallace out on a date?
Pulp Fiction,VINCENT,It ain't a date. It's like when you and your buddy's wife go to a movie or somethin'. It's just... you know... good company.,It ain't a date. It's like when you and your buddy's wife go to a movie or somethin'. It's just... you know... good company.
Pulp Fiction,VINCENT,It's not a date.,It's not a date.
Pulp Fiction,JULES,Hey kids.,Hey kids.
Pulp Fiction,JULES,How you boys doin'?,How you boys doin'?
Pulp Fiction,JULES,Do you know who we are?,Do you know who we are?
Pulp Fiction,JULES,"We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?","We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?"
Pulp Fiction,JULES,"I thought so. Well, you remember your business partner Marsellus Wallace, dont'ya Brett?","I thought so. Well, you remember your business partner Marsellus Wallace, dont'ya Brett?"
Pulp Fiction,JULES,"Good for you. Looks like me and Vincent caught you at breakfast, sorry 'bout that.  What'cha eatin'?","Good for you. Looks like me and Vincent caught you at breakfast, sorry 'bout that. What'cha eatin'?"
Pulp Fiction,JULES,Hamburgers. The cornerstone of any nutritious breakfast. What kinda hamburgers?,Hamburgers. The cornerstone of any nutritious breakfast. What kinda hamburgers?
Pulp Fiction,JULES,"No, I mean where did you get'em? MacDonald's, Wendy's, Jack-in-the- Box, where?","No, I mean where did you get'em? MacDonald's, Wendy's, Jack-in-the- Box, where?"
Pulp Fiction,JULES,"Big Kahuna Burger. That's that Hawaiian burger joint. I heard they got some tasty burgers. I ain't never had one myself, how are they?","Big Kahuna Burger. That's that Hawaiian burger joint. I heard they got some tasty burgers. I ain't never had one myself, how are they?"
Pulp Fiction,JULES,Mind if I try one of yours?,Mind if I try one of yours?
Pulp Fiction,JULES,"Yours is this one, right?","Yours is this one, right?"
Pulp Fiction,JULES,"Uuummmm, that's a tasty burger.","Uuummmm, that's a tasty burger."
Pulp Fiction,VINCENT,No.,No.
Pulp Fiction,JULES,"You wanna bite, they're real good.","You wanna bite, they're real good."
Pulp Fiction,VINCENT,I ain't hungry.,I ain't hungry.
Pulp Fiction,JULES,"Well, if you like hamburgers give 'em a try sometime. Me, I can't usually eat 'em 'cause my girlfriend's a vegetarian. Which more or less makes me a vegetarian, but I sure love the taste of a good burger.","Well, if you like hamburgers give 'em a try sometime. Me, I can't usually eat 'em 'cause my girlfriend's a vegetarian. Which more or less makes me a vegetarian, but I sure love the taste of a good burger."
Pulp Fiction,JULES,"Tell 'em, Vincent.","Tell 'em, Vincent."
Pulp Fiction,VINCENT,Royale with Cheese.,Royale with Cheese.
Pulp Fiction,JULES,"Royale with Cheese, you know why they call it that?","Royale with Cheese, you know why they call it that?"
Pulp Fiction,JULES,"Check out the big brain on Brett. You'a smart motherfucker, that's right. The metric system.","Check out the big brain on Brett. You'a smart motherfucker, that's right. The metric system."
Pulp Fiction,JULES,"Sprite, good, mind if I have some of your tasty beverage to wash this down with?","Sprite, good, mind if I have some of your tasty beverage to wash this down with?"
Pulp Fiction,JULES,"Uuuuummmm, hit's the spot!","Uuuuummmm, hit's the spot!"
Pulp Fiction,JULES,"Then why don't you tell my boy here Vince, where you got the shit hid.","Then why don't you tell my boy here Vince, where you got the shit hid."
Pulp Fiction,JULES,� I don't remember askin' you a goddamn thing.,� I don't remember askin' you a goddamn thing.
Pulp Fiction,VINCENT,Got it.,Got it.
Pulp Fiction,JULES,We happy?,We happy?
Pulp Fiction,JULES,Vincent!,Vincent!
Pulp Fiction,JULES,We happy?,We happy?
Pulp Fiction,VINCENT,We're happy.,We're happy.
Pulp Fiction,JULES,"My name's Pitt, and you ain't talkin' your ass outta this shit.","My name's Pitt, and you ain't talkin' your ass outta this shit."
Pulp Fiction,JULES,"Whatsamatter? Oh, you were through anyway.  Well, let me retort. Would you describe for me what Marsellus Wallace looks like?","Whatsamatter? Oh, you were through anyway. Well, let me retort. Would you describe for me what Marsellus Wallace looks like?"
Pulp Fiction,JULES,What country you from!,What country you from!
Pulp Fiction,JULES,"""What"" ain't no country I know! Do they speak English in ""What?""","""What"" ain't no country I know! Do they speak English in ""What?"""
Pulp Fiction,JULES,English-motherfucker-can-you-speak- it?,English-motherfucker-can-you-speak- it?
Pulp Fiction,JULES,Then you understand what I'm sayin'?,Then you understand what I'm sayin'?
Pulp Fiction,JULES,Now describe what Marsellus Wallace looks like!,Now describe what Marsellus Wallace looks like!
Pulp Fiction,JULES,"Say ""What"" again! C'mon, say ""What"" again!  I dare ya, I double dare ya motherfucker, say ""What"" one more goddamn time!","Say ""What"" again! C'mon, say ""What"" again! I dare ya, I double dare ya motherfucker, say ""What"" one more goddamn time!"
Pulp Fiction,JULES,Now describe to me what Marsellus Wallace looks like!,Now describe to me what Marsellus Wallace looks like!
Pulp Fiction,JULES,� go on!,� go on!
Pulp Fiction,JULES,� does he look like a bitch?!,� does he look like a bitch?!
Pulp Fiction,JULES,Does-he-look-like-a-bitch?!,Does-he-look-like-a-bitch?!
Pulp Fiction,JULES,Then why did you try to fuck 'im like a bitch?!,Then why did you try to fuck 'im like a bitch?!
Pulp Fiction,JULES,"Yes ya did Brett. Ya tried ta fuck 'im.  You ever read the Bible, Brett?","Yes ya did Brett. Ya tried ta fuck 'im. You ever read the Bible, Brett?"
Pulp Fiction,JULES,"There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men.  Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know my name is the Lord when I lay my vengeance upon you.""","There's a passage I got memorized, seems appropriate for this situation: Ezekiel 25:17. ""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers. And you will know my name is the Lord when I lay my vengeance upon you."""
Pulp Fiction,BUTCH,I got no problem with that.,I got no problem with that.
Pulp Fiction,BUTCH,"In the fifth, my ass goes down.","In the fifth, my ass goes down."
Pulp Fiction,VINCENT,Where's the big man?,Where's the big man?
Pulp Fiction,VINCENT,How 'bout a cup of just plain lo' American?,How 'bout a cup of just plain lo' American?
Pulp Fiction,VINCENT,At Marsellus' request.,At Marsellus' request.
Pulp Fiction,VINCENT,Not yet.,Not yet.
Pulp Fiction,VINCENT,What's so funny?,What's so funny?
Pulp Fiction,VINCENT,"Look, I'm not a idiot. She's the big man's fuckin' wife. I'm gonna sit across a table, chew my food with my mouth closed, laugh at her jokes and that's all I'm gonna do.","Look, I'm not a idiot. She's the big man's fuckin' wife. I'm gonna sit across a table, chew my food with my mouth closed, laugh at her jokes and that's all I'm gonna do."
Pulp Fiction,BUTCH,Non.,Non.
Pulp Fiction,BUTCH,"Lookin' at somethin', friend?","Lookin' at somethin', friend?"
Pulp Fiction,VINCENT,"I ain't your friend, palooka.","I ain't your friend, palooka."
Pulp Fiction,BUTCH,What was that?,What was that?
Pulp Fiction,VINCENT,"I think ya heard me just fine, punchy.","I think ya heard me just fine, punchy."
Pulp Fiction,VINCENT,"Remember, I just got back from Amsterdam.","Remember, I just got back from Amsterdam."
Pulp Fiction,VINCENT,That's a bold statement.,That's a bold statement.
Pulp Fiction,VINCENT,"Give me three hundred worth of the madman.  If it's as good as you say, I'll be back for a thousand.","Give me three hundred worth of the madman. If it's as good as you say, I'll be back for a thousand."
Pulp Fiction,VINCENT,Which one's Trudi? The one with all the shit in her face?,Which one's Trudi? The one with all the shit in her face?
Pulp Fiction,VINCENT,I'm on my way somewhere. I got a dinner engagement. Rain check?,I'm on my way somewhere. I got a dinner engagement. Rain check?
Pulp Fiction,VINCENT,You don't mind if I shoot up here?,You don't mind if I shoot up here?
Pulp Fiction,VINCENT,Mucho gracias.,Mucho gracias.
Pulp Fiction,VINCENT,You know what some fucker did to it the other day?,You know what some fucker did to it the other day?
Pulp Fiction,VINCENT,Fuckin' keyed it.,Fuckin' keyed it.
Pulp Fiction,VINCENT,"Tell me about it. I had the goddamn thing in storage three years. It's out five fuckin' days � five days, and some dickless piece of shit fucks with it.","Tell me about it. I had the goddamn thing in storage three years. It's out five fuckin' days � five days, and some dickless piece of shit fucks with it."
Pulp Fiction,VINCENT,"I just wish I caught 'em doin' it, ya know?  Oh man, I'd give anything to catch 'em doin' it. It'a been worth his doin' it, if I coulda just caught 'em, you know what I mean?","I just wish I caught 'em doin' it, ya know? Oh man, I'd give anything to catch 'em doin' it. It'a been worth his doin' it, if I coulda just caught 'em, you know what I mean?"
Pulp Fiction,MIA,"Hi, Vincent. I'm getting dressed. The door's open. Come inside and make yourself a drink.","Hi, Vincent. I'm getting dressed. The door's open. Come inside and make yourself a drink."
Pulp Fiction,VINCENT,Hello?,Hello?
Pulp Fiction,MIA,...warm. Warmer. Disco.,...warm. Warmer. Disco.
Pulp Fiction,VINCENT,Hello.,Hello.
Pulp Fiction,MIA,Let's go.,Let's go.
Pulp Fiction,VINCENT,What the fuck is this place?,What the fuck is this place?
Pulp Fiction,MIA,This is Jackrabbit Slim's. An Elvis man should love it.,This is Jackrabbit Slim's. An Elvis man should love it.
Pulp Fiction,VINCENT,"Come on, Mia, let's go get a steak.","Come on, Mia, let's go get a steak."
Pulp Fiction,MIA,"You can get a steak here, daddy-o. Don't be a...","You can get a steak here, daddy-o. Don't be a..."
Pulp Fiction,VINCENT,"After you, kitty-cat.","After you, kitty-cat."
Pulp Fiction,VINCENT,I'll have the Douglas Sirk steak.,I'll have the Douglas Sirk steak.
Pulp Fiction,VINCENT,"Bloody as hell. And to drink, a vanilla coke.","Bloody as hell. And to drink, a vanilla coke."
Pulp Fiction,MIA,I'll have the Durwood Kirby burger � bloody � and a five-dollar shake.,I'll have the Durwood Kirby burger � bloody � and a five-dollar shake.
Pulp Fiction,MIA,Martin and Lewis.,Martin and Lewis.
Pulp Fiction,VINCENT,Did you just order a five-dollar shake?,Did you just order a five-dollar shake?
Pulp Fiction,MIA,Sure did.,Sure did.
Pulp Fiction,VINCENT,A shake? Milk and ice cream?,A shake? Milk and ice cream?
Pulp Fiction,MIA,Uh-huh.,Uh-huh.
Pulp Fiction,VINCENT,It costs five dollars?,It costs five dollars?
Pulp Fiction,VINCENT,You don't put bourbon in it or anything?,You don't put bourbon in it or anything?
Pulp Fiction,VINCENT,Just checking.,Just checking.
Pulp Fiction,MIA,Whaddya think?,Whaddya think?
Pulp Fiction,VINCENT,It's like a wax museum with a pulse rate.,It's like a wax museum with a pulse rate.
Pulp Fiction,MIA,What are you doing?,What are you doing?
Pulp Fiction,VINCENT,Rollin' a smoke.,Rollin' a smoke.
Pulp Fiction,MIA,Here?,Here?
Pulp Fiction,VINCENT,It's just tobacco.,It's just tobacco.
Pulp Fiction,MIA,"Oh. Well in that case, will you roll me one, cowboy?","Oh. Well in that case, will you roll me one, cowboy?"
Pulp Fiction,VINCENT,"You can have this one, cowgirl.","You can have this one, cowgirl."
Pulp Fiction,MIA,Thanks.,Thanks.
Pulp Fiction,VINCENT,Think nothing of it.,Think nothing of it.
Pulp Fiction,MIA,Marsellus said you just got back from Amsterdam.,Marsellus said you just got back from Amsterdam.
Pulp Fiction,VINCENT,Sure did. I heard you did a pilot.,Sure did. I heard you did a pilot.
Pulp Fiction,MIA,That was my fifteen minutes.,That was my fifteen minutes.
Pulp Fiction,VINCENT,What was it?,What was it?
Pulp Fiction,MIA,"It was show about a team of female secret agents called ""Fox Force Five.""","It was show about a team of female secret agents called ""Fox Force Five."""
Pulp Fiction,VINCENT,What?,What?
Pulp Fiction,MIA,"""Fox Force Five."" Fox, as in we're a bunch of foxy chicks. Force, as in we're a force to be reckoned with. Five, as in there's one... two ... three... four... five of us. There was a blonde one, Sommerset O'Neal from that show ""Baton Rouge,"" she was the leader. A Japanese one, a black one, a French one and a brunette one, me.  We all had special skills. Sommerset had a photographic memory, the Japanese fox was a kung fu master, the black girl was a demolition expert, the French fox' specialty was sex...","""Fox Force Five."" Fox, as in we're a bunch of foxy chicks. Force, as in we're a force to be reckoned with. Five, as in there's one... two ... three... four... five of us. There was a blonde one, Sommerset O'Neal from that show ""Baton Rouge,"" she was the leader. A Japanese one, a black one, a French one and a brunette one, me. We all had special skills. Sommerset had a photographic memory, the Japanese fox was a kung fu master, the black girl was a demolition expert, the French fox' specialty was sex..."
Pulp Fiction,VINCENT,What was your specialty?,What was your specialty?
Pulp Fiction,MIA,"Knives. The character I played, Raven McCoy, her background was she was raised by circus performers. So she grew up doing a knife act. According to the show, she was the deadliest woman in the world with a knife. But because she grew up in a circus, she was also something of an acrobat. She could do illusions, she was a trapeze artist � when you're keeping the world safe from evil, you never know when being a trapeze artist's gonna come in handy. And she knew a zillion old jokes her grandfather, an old vaudevillian, taught her. If we woulda got picked up, they woulda worked in a gimmick where every episode I woulda told and ol joke.","Knives. The character I played, Raven McCoy, her background was she was raised by circus performers. So she grew up doing a knife act. According to the show, she was the deadliest woman in the world with a knife. But because she grew up in a circus, she was also something of an acrobat. She could do illusions, she was a trapeze artist � when you're keeping the world safe from evil, you never know when being a trapeze artist's gonna come in handy. And she knew a zillion old jokes her grandfather, an old vaudevillian, taught her. If we woulda got picked up, they woulda worked in a gimmick where every episode I woulda told and ol joke."
Pulp Fiction,VINCENT,Do you remember any of the jokes?,Do you remember any of the jokes?
Pulp Fiction,MIA,"Well I only got the chance to say one, 'cause we only did one show.","Well I only got the chance to say one, 'cause we only did one show."
Pulp Fiction,VINCENT,Tell me.,Tell me.
Pulp Fiction,MIA,No. It's really corny.,No. It's really corny.
Pulp Fiction,VINCENT,"C'mon, don't be that way.","C'mon, don't be that way."
Pulp Fiction,MIA,No. You won't like it and I'll be embarrassed.,No. You won't like it and I'll be embarrassed.
Pulp Fiction,VINCENT,You told it in front of fifty million people and you can't tell it to me? I promise I won't laugh.,You told it in front of fifty million people and you can't tell it to me? I promise I won't laugh.
Pulp Fiction,VINCENT,That's not what I meant and you know it.,That's not what I meant and you know it.
Pulp Fiction,MIA,"You're quite the silver tongue devil, aren't you?","You're quite the silver tongue devil, aren't you?"
Pulp Fiction,VINCENT,I meant I wouldn't laugh at you.,I meant I wouldn't laugh at you.
Pulp Fiction,MIA,"That's not what you said Vince. Well now I'm definitely not gonna tell ya, 'cause it's been built up too much.","That's not what you said Vince. Well now I'm definitely not gonna tell ya, 'cause it's been built up too much."
Pulp Fiction,VINCENT,What a gyp.,What a gyp.
Pulp Fiction,MIA,Yummy!,Yummy!
Pulp Fiction,VINCENT,Can I have a sip of that? I'd like to know what a five-dollar shake tastes like.,Can I have a sip of that? I'd like to know what a five-dollar shake tastes like.
Pulp Fiction,MIA,Be my guest.,Be my guest.
Pulp Fiction,MIA,"You can use my straw, I don't have kooties.","You can use my straw, I don't have kooties."
Pulp Fiction,VINCENT,"Yeah, but maybe I do.","Yeah, but maybe I do."
Pulp Fiction,MIA,Kooties I can handle.,Kooties I can handle.
Pulp Fiction,VINCENT,Goddamn! That's a pretty fuckin' good milk shake.,Goddamn! That's a pretty fuckin' good milk shake.
Pulp Fiction,MIA,Told ya.,Told ya.
Pulp Fiction,VINCENT,"I don't know if it's worth five dollars, but it's pretty fuckin' good.","I don't know if it's worth five dollars, but it's pretty fuckin' good."
Pulp Fiction,MIA,Don't you hate that?,Don't you hate that?
Pulp Fiction,VINCENT,What?,What?
Pulp Fiction,MIA,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?,Uncomfortable silences. Why do we feel it's necessary to yak about bullshit in order to be comfortable?
Pulp Fiction,VINCENT,I don't know.,I don't know.
Pulp Fiction,MIA,"That's when you know you found somebody special. When you can just shit the fuck up for a minute, and comfortably share silence.","That's when you know you found somebody special. When you can just shit the fuck up for a minute, and comfortably share silence."
Pulp Fiction,VINCENT,"I don't think we're there yet. But don't feel bad, we just met each other.","I don't think we're there yet. But don't feel bad, we just met each other."
